"","mos_ethnicity","complainant_ethnicity"
"427","White",NA
"428","White","Black"
"429","White","Black"
"430","White","Black"
"431","White","Black"
"432","Black","Black"
"433","Black","Black"
"434","Black","Black"
"435","Black","Black"
"436","Black","Unknown"
"437","Black","Black"
"438","Black","Black"
"439","Black","Black"
"440","Black",NA
"441","Black","Black"
"442","Black","Black"
"443","Black",NA
"444","Black","Black"
"445","Black","Black"
"446","Black","Black"
"447","Black","Black"
"448","Black","Black"
"449","Black","Black"
"450","Black","Black"
"451","Black","Black"
"452","Black","Black"
"453","Black","Black"
"454","Black",NA
"455","Black","Black"
"456","Asian","Black"
"457","Asian",NA
"458","Asian","Black"
"459","Asian","Black"
"460","Asian","Black"
"461","Asian",NA
"462","Asian","Black"
"463","Asian","Black"
"464","Asian","Black"
"465","Black","Hispanic"
"466","Black",NA
"467","Black","Black"
"468","Black",NA
"469","Black","Black"
"470","Black","Black"
"471","Black","Black"
"472","Black","Black"
"473","Black","Black"
"474","Black","Hispanic"
"475","Black","Hispanic"
"476","Black","Hispanic"
"477","Black","Black"
"478","Black","Black"
"479","Black","Black"
"480","Black",NA
"481","Black",NA
"482","Black","Black"
"483","Black","Black"
"484","Black","Black"
"485","Black","Refused"
"486","Black","Black"
"487","Black","Black"
"488","Black","Black"
"489","Black","Black"
"490","Black","Black"
"491","Black","Black"
"492","Black",NA
"493","Black",NA
"494","Black","Black"
"495","Hispanic","Black"
"496","Hispanic","Black"
"497","Hispanic","Black"
"498","Asian","Black"
"499","Asian","Black"
"500","Asian","Black"
"501","Asian","Black"
"502","Asian","Black"
"503","Asian","Hispanic"
"504","Hispanic","Black"
"505","Hispanic","Black"
"506","Hispanic","Black"
"507","Hispanic","Black"
"508","White","Black"
"509","Black","White"
"510","White","Black"
"511","White","Black"
"512","White","Black"
"513","White","Black"
"514","White","Black"
"515","White","Black"
"516","White","Black"
"517","White","Black"
"518","White","Black"
"519","White","Black"
"520","White","Black"
"521","White","Black"
"522","White","Black"
"523","White","Black"
"524","Black","Black"
"525","Black","Black"
"526","Black","Black"
"527","Black","Black"
"528","Black","Black"
"529","Black","Black"
"530","Black","Black"
"531","White","White"
"532","White","Hispanic"
"533","White","White"
"534","White","White"
"535","White","White"
"536","White","White"
"537","White","Hispanic"
"538","White","Hispanic"
"539","White","Hispanic"
"540","White","White"
"541","White","Black"
"542","White","Black"
"543","White","Black"
"544","White","Black"
"545","White","Black"
"546","White","Black"
"547","White","Black"
"548","White","Black"
"549","White","Black"
"550","White","Black"
"551","White","Black"
"552","White","Black"
"553","White","Black"
"554","White","Black"
"555","White","Black"
"556","White","Black"
"557","White","White"
"558","White","Black"
"559","White","Black"
"560","White","Black"
"561","White",NA
"562","White","Black"
"563","White","Black"
"564","White",NA
"565","White","Black"
"566","White","Black"
"567","White","Black"
"568","White","Black"
"569","White","Black"
"570","White","Black"
"571","Black","Hispanic"
"572","Black","Hispanic"
"573","Black","Black"
"574","Black","Black"
"575","Black","Black"
"576","Black","Black"
"577","Black","White"
"578","Black","Black"
"579","Black","Black"
"580","Black","Black"
"581","Black","Black"
"582","Black","Black"
"583","Black","Black"
"584","Black","Black"
"585","Black","Black"
"586","Black","Black"
"587","Black","Black"
"588","Black","Black"
"589","Black","Black"
"590","Black","Black"
"591","Black",NA
"592","Black","Black"
"593","Black","Black"
"594","White","Black"
"595","White","Black"
"596","White","Black"
"597","White","Black"
"598","White","Black"
"599","White",NA
"600","White","Black"
"601","White","Black"
"602","White","Hispanic"
"603","White",NA
"604","White","Black"
"605","White","Black"
"606","White","Black"
"607","White","Black"
"608","White","Black"
"609","White","Black"
"610","White","Black"
"611","White","Black"
